id,project_id,keyword
961,196,source use
962,196,information seeking
963,196,higher education
964,196,information literacy interest development source evaluation source use information seeking higher education
965,197,Social Sciences
966,197,information literacy
967,197,interest development
968,197,source evaluation
969,197,source use
970,197,information seeking
971,197,higher education
972,197,information literacy interest development source evaluation source use information seeking higher education
973,198,Social Sciences
974,198,information literacy
975,198,interest development
976,198,source evaluation
977,198,source use
978,198,information seeking
979,198,higher education
980,198,information literacy interest development source evaluation source use information seeking higher education
981,199,Social Sciences
982,199,information literacy
983,199,interest development
984,199,source evaluation
985,199,source use
986,199,information seeking
987,199,higher education
988,199,information literacy interest development source evaluation source use information seeking higher education
989,200,Social Sciences
990,200,information literacy
991,200,interest development
992,200,source evaluation
993,200,source use
994,200,information seeking
995,200,higher education
996,200,information literacy interest development source evaluation source use information seeking higher education
997,201,Social Sciences
998,201,information literacy
999,201,interest development
1000,201,source evaluation
1001,201,source use
1002,201,information seeking
1003,201,higher education
1004,201,information literacy interest development source evaluation source use information seeking higher education
1005,202,Other
1006,202,Industry master
1007,202,Experiential learning
1008,202,Accounting
1009,202,Auditing
1010,202,Lifelong learning
1011,202,Learning activities
1012,202,Critical thinking
1013,202,Business Partners
1014,202,Professionally oriented training program
1015,202,Industry master Experiential learning Accounting Auditing Lifelong learning Learning activities Critical thinking Business Partners Professionally oriented training program
1016,203,Other
1017,203,Industry master
1018,203,Experiential learning
1019,203,Accounting
1020,203,Auditing
1021,203,Lifelong learning
1022,203,Learning activities
1023,203,Critical thinking
1024,203,Business Partners
1025,203,Professionally oriented training program
1026,203,Industry master Experiential learning Accounting Auditing Lifelong learning Learning activities Critical thinking Business Partners Professionally oriented training program
1027,204,Social Sciences
1028,204,information literacy
1029,204,higher education
1030,204,metacognition
1031,204,Dunning-Kruger effect
1032,204,interest
1033,204,testing
1034,204,information literacy higher education metacognition Dunning-Kruger effect interest testing
1035,205,Social Sciences
1036,205,information literacy
1037,205,higher education
1038,205,metacognition
